,Processor,Graphics Card,Screen Size(inch),RAM(GB),SSD(GB),link,OS,HDD(GB),brand,Normal,price EG,store
740, AMD Ryzen 9 5000,ryzen 9 5000 series 590,14,16.0,0,https://www.ubuy.com.eg/en/product/4DGOHJ392-new-listing-asus-um425qa-xh99-14-0-laptop-amd-ryzen-9-5000-series-5900hx-3-30ghz-16gb-mem,2,no,ASUS,1,30643.0,ubuy
741,WQXGA 2560x1600,ryzen 7 5800h 32 gb ,16,32.0,2000,https://www.ubuy.com.eg/en/product/4SI9OQ758-new-listing-lenovo-legion-7-16-wqxga-2560x1600-ryzen-7-5800h-32-gb-ram-2-tb-ssd-storm-gray,1,0,Lenovo,1,51475.0,ubuy
742,14-DQ2031tg 14,intel i3 11gen fhd 4gb ,14.1,4.0,128,https://www.ubuy.com.eg/en/product/48OBVISYE-new-listing-hp-14-intel-i3-11gen-fhd-4gb-ram-128gb-ssd-win-10-in-s-mode-laptop-notebook,2,128,HP,1,7523.0,ubuy
743, AMD Ryzen 5 8GB,ryzen 5 8gb ,14,8.0,512,https://www.ubuy.com.eg/en/product/4XSVIMRGO-new-listing-asus-zenbook-14-fhd-laptop-amd-ryzen-5-8gb-ram-512gb-ssd-w10p-new-sealed,1,512,ASUS,1,16755.0,ubuy
744,AMD Ryzen 7,ryzen 7,15.6,8.0,512,https://www.ubuy.com.eg/en/product/4RIXUUOQG-new-listing-gateway-15-6-ultra-slim-notebook-fhd-amd-ryzen-7-512gb-ssd-8gb-memory,2,512,Gateway,1,9107.0,ubuy
745,4Hz Intel i7,intel i7-11800h 16gb 51,17.3,16.0,512,https://www.ubuy.com.eg/en/product/46DLGXZBM-new-listing-lenovo-legion-5-17-3-144hz-gaming-laptop-intel-core-i7-11800h-16gb-ram-512gb-ss,2,0,Lenovo,1,35643.0,ubuy
747,Intel i5 1135G,intel i5 1135g7 2.4ghz ,14,8.0,256,https://www.ubuy.com.eg/en/product/4XTDIOBNK-asus-vivobook-14-f415ea-ub51-intel-i5-1135g7-2-4ghz-256gb-ssd-8gb-ddr4-3200,2,0,ASUS,1,13367.0,ubuy
759,Intel Core i7,geforce rtx 3080 ,15.6,16.0,512,https://www.ubuy.com.eg/en/product/3TV2KOJ76-msi-gp66-raider-15-6-144hz-gaming-laptop-intel-core-i7-11800h-rtx3080-16gb-512gb-nvme-ssd-win10-vr-ready,2,1000,MSI,0,38327.0,ubuy
760,Intel Core i7,geforce rtx 2070 8gb,15.6,16.0,1000,https://www.ubuy.com.eg/en/product/4QWGW3K-asus-rog-zephyrus-m15-gu502lw-bi7n6-15-6-fhd-gaming-laptop-intel-core-i7-16gb-ram-nvidia-geforce-rtx,2,1000,ASUS,0,41607.0,ubuy
761,Intel Pentium Gold 6405U,intel uhd graphics hdmi,15.60,4.0,128,https://www.ubuy.com.eg/en/product/G2RSI7PK-hp-notebook-15-premium-business-laptop-15-6-diagonal-hd-display-intel-pentium-gold-6405u-processor-4,2,128,HP,1,11173.0,ubuy
