,Processor,Screen Size(inch),RAM(GB),Graphics Card,brand,SSD(GB),HDD(GB),link,OS,Normal,price EG,store
138,Intel Core-i7-1065G7 (1.3 - 3.9 GHz),14.0,8.0,Intel Iris Xe Graphics,Infinix,512,0,https://btech.com/en/infinix-inbook-x2-laptop-intel-i7-14-512gb-8gb.html,2,1,13109.0,btech
139,Intel Core i5-1135G7,15.6,12.0,Intel Iris XE Graphics,Lenovo,256,0,https://btech.com/en/lenovo-id3-i5-256ssd-12-win11-plgrey.html,2,1,15099.0,btech
141,AMD R7-4800H,15.6,16.0,AMD RX5600M 6G,Dell,512,0,https://btech.com/en/dell-g5-5505-gaming-laptop-amd-r7-4800h-15-6.html,2,0,27699.0,btech
142,Ryzen 5 3500U,15.6,4.0,Radeon VGA,Lenovo,0,1000,https://btech.com/en/lenovo-l340-15api-amd-3500u-1tb-4gb-blue-1646565208.html,1,1,10300.0,btech
143,Microsoft SQ 2,13.0,16.0,Intel Iris Plus Graphics,Microsoft,256,0,https://btech.com/en/microsoft-surface-prox-laptop-sq-2-256gb-16gb.html,2,1,40499.0,btech
144,Intel Core i3-1125G4,14.0,8.0,Intel UHD Graphics,HP,512,0,https://btech.com/en/hp-pavilionx360convertible14-dy0144ne-dos.html,1,1,12399.0,btech
145,AMD Ryzen 7 4700U,15.6,4.0,AMD Radeon Graphics,HP,256,0,https://btech.com/en/hp-15s-eq1024ne-4gb-octacore-amd-dos.html,1,1,11199.0,btech
146,intel core I3-1115G4,14.0,4.0,انتل UHD جرافيكس,لاب,256,0,https://btech.com/en/asus-x415ea-eb003w-laptop-i3-1115g4-14-inch-silver.html,1,1,8395.0,btech
147,Intel Core i5-1135G7,15.6,4.0,NVIDIA GeForce MX350 2GB,HP,0,1000,https://btech.com/en/hp-15-dw3023ne-i5-1135g7-1tb-4gb-w10.html,2,1,13299.0,btech
148,AMD Ryzen 7 3700U - Quad core,15.6,16.0,AMD Radeon Vega 10 Graphics,Dell,512,0,https://btech.com/en/dell-vostro-153515-laptop-mp7m.html,1,1,13277.0,btech
149,Intel Core i5-10300H,15.6,8.0,AMD Radeon RX Vega,Lenovo,0,7,https://btech.com/en/lenovo-ideapad-l340-laptop-amd-r7-3700u-1tb.html,1,0,13099.0,btech
150,Intel Core i5-11300H,15.6,8.0,Nvidia GTX1650 4G,Lenovo,512,0,https://btech.com/en/lenovo-gaming-3-i5-11300h-512ssd-8gb-bk.html,2,0,18699.0,btech
151,AMD Ryzen 7-5800H,15.6,16.0,NVIDIA GeForce RTX 3050,Lenovo,2,0,https://btech.com/en/lenovo-lenovogaming3-16gb-octacore-nvidia-dos-1646924812.html,1,0,22364.0,btech
152,Intel Core i3-1115G4,15.6,4.0,Intel UHD Graphics,Dell,0,1000,https://btech.com/en/dell-vostro-3500-i3-1115g4-1tb-4gb-ub-bk.html,1,1,9699.0,btech
154,AMD Ryzen 5 3500U - Quad core,15.6,8.0,Integrated AMD Radeon Vega 8,Lenovo,512,0,https://btech.com/en/lenovo-ideapad3-15ada6-laptop.html,1,1,11066.0,btech
155,AMD Ryzen 7 5800H - Octa core,16.0,16.0,Nvidia RTX 3060 6GB,Lenovo,1000,0,https://btech.com/en/lenovo-legion5pro-16ach6h-laptop-mp163.html,1,0,34277.0,btech
156,AMD,15.6,8.0,AMD Radeon,HP,256,0,https://btech.com/en/hp-15-ef2127wm-laptop-windows-11-silver.html,2,1,11399.0,btech
157,AMD ‎Ryzen 5 3500U,15.6,4.0,AMD Radeon Graphics,Acer,0,1000,https://btech.com/en/acer-aspire3-a31523r43b-laptop-amdryzen53500u-silver.html,2,1,8499.0,btech
158,Intel Core i5-1035G1,15.6,8.0,Intel UHD Graphics,HP,0,1000,https://btech.com/en/hp-15-dw2063ne-i5-1035g1-1tb-8gb-sl-w10.html,2,1,12099.0,btech
159,Intel Core i5-1135G7,15.6,8.0,Intel Iris X Graphics,HP,512,0,https://btech.com/en/hp-probook-450-g8-i5-1135g7-512gb-8gb-win-sl.html,2,1,17299.0,btech
161,Intel Core i5-1155G7 - Quad core,14.0,8.0,Intel Iris Xe Graphics,Dell,8,0,https://btech.com/en/dell-inspiron-5410-laptop-mp233.html,2,1,14955.0,btech
162,Intel Core i7- 1165G7,12.3,16.0,Intel Iris Plus Graphics,Microsoft,512,0,https://btech.com/en/microsoft-surfacepro7plus1nd00006-laptop-12-3inch.html,2,1,51499.0,btech
163,AMD Ryzen 5 3450U,15.6,8.0,AMD Radeon Vega 8 GPU,Dell,512,0,https://btech.com/en/dell-inspiron3515-amdryzen5-3450u-15-6inch-ubuntu-black-1648636759.html,1,1,10329.0,btech
164,Intel Core i5-1035G7,13.5,8.0,Intel Iris Plus Graphics,Microsoft,128,0,https://btech.com/en/microsoft-surface-laptop-3-pkh00013-13-5inch.html,2,1,27499.0,btech
