,Graphics Card,Processor,Screen Size(inch),brand,HDD(GB),SSD(GB),link,RAM(GB),OS,Normal,price EG,store
2915,amd radeon graphicsscre,Full HD 1080P,14.0,Visit,128.0,128.0,https://www.newegg.com/p/1TS-000E-0V6D8?Item=9SIB0GJG032261&cm_sp=SP-_-737354-_-Pers_SubCategorySponsoredProduct-_-5-_-9SIB0GJG032261-_-32-_--_-3,8.0,2,1,7714.634233057408,New Egg
2916,nan,Dual Core i5,13.3,Visit,0.0,5128.0,https://www.newegg.com/p/2SN-0001-020U4?Item=9SIAB6HH6N0957&cm_sp=SP-_-1029446-_-Pers_SubCategorySponsoredProduct-_-5-_-9SIAB6HH6N0957-_-32-_--_-2,8.0,0,1,8819.355125619328,New Egg
2917,nan, Intel Core i3 6100U,14.0,Visit,500.0,0.0,https://www.newegg.com/black-hp-640-g2/p/1TS-000D-0H031?Item=9SIA6A3EDT3666&cm_sp=SP-_-574253-_-Pers_SubCategorySponsoredProduct-_-5-_-9SIA6A3EDT3666-_-32-_--_-1,8.0,2,1,3037.98245454528,New Egg
2918,nan,AMD 3020e,15.6,Visit,0.0,256.0,https://www.newegg.com/black-hp-15s-everyday-value/p/1TS-000D-0P2E9,8.0,2,1,8653.46287158628,New Egg
2919,intel iris xe graphics , Intel Core i5 11th,2.4,Visit,0.0,512.0,https://www.newegg.com/blue-stone-msi-modern-14-b11mo-210-mainstream/p/N82E16834155825,8.0,2,1,9205.82331786724,New Egg
2920,geforce rtx 3060, Intel Core i9-11900H,15.6,ASUS,0.0,1000.0,https://www.newegg.com/asus-ux582hm-xh96t/p/N82E16834236032,32.0,2,1,50816.976937699554,New Egg
2921,intel iris xe graphics,Intel Core i7 11th Gen,17.3,Visit,0.0,256.0,https://www.newegg.com/p/2WC-000J-014C2,8.0,2,1,17847.50249993286,New Egg
2922,intel iris xe graphics ,S06700,2.8,Lenovo,0.0,512.0,https://www.newegg.com/glossy-black-lenovo-thinkpad-e15-g2-20tds06700/p/2WC-000J-00U25,16.0,2,1,21891.885687602047,New Egg
2923,intel iris xe graphics2, Intel Core i5-11300H,14.0,Visit,0.0,512.0,https://www.newegg.com/slate-gray-lenovo-ideapad-slim-7-pro-14ihu5-82qt0004us-home-personal/p/2WC-000J-01446,16.0,2,1,12869.998398346368,New Egg
2924,geforce rtx 3050 ti, AMD Ryzen 9 5900HX,16.0,Visit,0.0,1000.0,https://www.newegg.com/asus-vivobook-pro-m7600qe-xb99/p/N82E16834236081,32.0,2,1,38204.74674761764,New Egg
2925,ryzen 5 5500u upto 4.0g, AMD Ryzen 5 5500U,15.6,Visit,0.0,1000.0,https://www.newegg.com/blue-hp-15-mainstream/p/1TS-000D-0SE03,16.0,2,1,12501.758100825728,New Egg
2926,nan, Intel Core i5-1135G7,14.0,Visit,0.0,512.0,https://www.newegg.com/dark-gray-asus-vivobook-f-series-mainstream/p/1TS-001A-05HJ0,16.0,2,1,11599.3852517514,New Egg
2927,geforce rtx 3050, AMD Ryzen 7 5800H,15.6,ASUS,0.0,512.0,https://www.newegg.com/quiet-blue-asus-vivobook-pro-m3500qc-ds71-content-creation/p/N82E16834236054,16.0,2,1,20253.03224348644,New Egg
2928,geforce rtx 3070 , AMD Ryzen 7-5800H,16.0,Visit,0.0,1000.0,https://www.newegg.com/p/1TS-000E-0WHH4,16.0,2,0,28999.65991034544,New Egg
2929,intel hd graphics 500 g,.3 inch Intel N3350,13.3,Visit,0.0,128.0,https://www.newegg.com/aluminum-black-bmax-s13a-work-business/p/1XV-00F5-00001,8.0,2,1,4879.18394214848,New Egg
2930,ryzen 5 4000 series 450, AMD Ryzen 5 4000,2.3,HP,0.0,256.0,https://www.newegg.com/natural-silver-aluminum-with-a-sandblasted-finish-hp-pavilion-15-eh0076nr-home-personal/p/N82E16834273299,8.0,2,1,9205.82331786724,New Egg
2931,nan, Intel Core i7-1165G7,15.6,ASUS,0.0,512.0,https://www.newegg.com/indie-black-asus-vivobook-s15-s533ea-dh74-mainstream/p/N82E16834235595,16.0,2,1,15834.14867323876,New Egg
2932,intel iris xe graphics , Intel Core i5 11th,2.4,Visit,0.0,256.0,https://www.newegg.com/abyss-blue-lenovo-ideapad-5-15itl05-82fg015uus-home-personal/p/N82E16834645911,8.0,2,1,9205.82331786724,New Egg
2933,geforce rtx 3050 laptop, Intel Core i7 11th,2.3,MSI,0.0,512.0,https://www.newegg.com/black-msi-creator-m16-a11uc-672-creating-designing/p/N82E16834156057,16.0,2,1,21155.405092560766,New Egg
2934,geforce rtx 3050 ti lap, Intel Core i7 12th,2.1,MSI,0.0,1000.0,https://www.newegg.com/carbon-gray-msi-prestige-15-a12ud-010-content-creation/p/N82E16834156157,32.0,2,1,31282.01327437837,New Egg
2935,nan, Intel Core i5-1135G7,17.3,Visit,0.0,1000.0,https://www.newegg.com/silver-hp-17/p/1TS-000D-0MD18,16.0,2,1,13551.058828610792,New Egg
2936,"geforce mx450 14.0"" tou",ZenBook UX5400E,2.8,ASUS,0.0,512.0,https://www.newegg.com/pine-gray-asus-zenbook-ux5400eg-xb73t-home-personal/p/N82E16834236096,16.0,2,1,25776.636706296038,New Egg
2937,intel iris xe graphics , Intel Core i7 11th,2.8,Lenovo,0.0,512.0,https://www.newegg.com/lenovo-thinkbook-15-g2-itl-20ve006uus/p/1B4-001H-02H01,16.0,2,1,19001.015231916263,New Egg
2938,intel iris xe graphics , Intel Core i5 11th,2.4,Visit,0.0,256.0,https://www.newegg.com/gold-acer-aspire-5-a514-54-501z-home-personal/p/N82E16834360135,8.0,2,1,9003.475274379647,New Egg
2939,geforce mx450,Core i7-1195G,14.0,ASUS,0.0,1000.0,https://www.newegg.com/celestial-blue-asus-zenbook-duo-ux482egr-xb77t/p/N82E16834236088,32.0,2,1,31300.24116910564,New Egg
2941,geforce rtx 3080 ti lap, Intel Core i9 12th,2.5,MSI,0.0,2000.0,https://www.newegg.com/lunar-gray-msi-creator-z17-a12uhst-046-content-creation/p/N82E16834156167,64.0,2,1,82835.65492726797,New Egg
2943,geforce rtx 3050 ti 4gb, AMD Ryzen 5-5600H,15.6,Visit,0.0,512.0,https://www.newegg.com/p/1TS-000E-0VW66,8.0,2,0,13808.82703687524,New Egg
2944,ryzen 7 4000 series 470,E05 81YQ0009U,2.0,Visit,0.0,512.0,https://www.newegg.com/lenovo-81yq0009us/p/N82E16834645065,8.0,2,1,14711.199885949569,New Egg
2945,ryzen 5 5000 series 550, AMD Ryzen 5 5000,2.1,Acer,0.0,512.0,https://www.newegg.com/acer-aspire-a515-45-r4p4/p/N82E16834360122,8.0,2,1,11396.853088115047,New Egg
2946,geforce mx350,Intel i7-1165G,15.6,ASUS,0.0,512.0,https://www.newegg.com/asus-k513eq-pb79/p/N82E16834236010,16.0,2,1,14913.54792943716,New Egg
2947,ryzen 7 5000 series 570, AMD Ryzen 7 5000,1.8,Acer,0.0,512.0,https://www.newegg.com/pure-silver-acer-aspire-5-a515-45-r1bf-home-personal/p/N82E16834360112,16.0,2,1,14490.071587288423,New Egg
2948,nvidia geforce rtx 3050 laptop gpu,Intel Core i7 11th Gen,16.0,ASUS,0.0,1000.0,https://www.newegg.com/comet-grey-asus-vivobook-pro-n7600pc-nb74-gaming/p/N82E16834236012,16.0,2,1,25776.636706296038,New Egg
2949,ryzen 7 5700u , AMD Ryzen 7 5700U,15.6,ASUS,0.0,1000.0,https://www.newegg.com/indie-black-asus-s513ua-ds74-mainstream/p/N82E16834235718,8.0,2,1,12888.22629307364,New Egg
2950,geforce rtx 3070 8gb gd, AMD Ryzen 7-5800H,16.0,Visit,0.0,1000.0,https://www.newegg.com/p/1TS-000E-0VXD7,16.0,2,0,27617.83819389924,New Egg
2951,intel iris xe graphics , Intel Core i5 11th,2.5,Visit,0.0,512.0,https://www.newegg.com/carbon-gray-msi-modern-15-a11mu-654-mainstream/p/N82E16834156044,8.0,2,1,12464.749950924905,New Egg
2952,geforce rtx 3050 ti gpu, AMD Ryzen 9 5900HX,15.6,ASUS,0.0,1000.0,https://www.newegg.com/pine-gray-asus-zenbook-pro-um535qe-xh91t-content-creation/p/N82E16834236027,16.0,2,1,27617.83819389924,New Egg
2953,nan,Dual Core i5,13.3,Visit,0.0,5128.0,https://www.newegg.com/p/2SN-0001-02095,8.0,0,1,11581.157357024127,New Egg
2954,geforce mx450memory:8gb, Intel Core i5 11th,2.5,MSI,0.0,512.0,https://www.newegg.com/beige-mousse-msi-modern-14-b11mo-857-work-business/p/N82E16834156071,8.0,2,1,9555.835720660609,New Egg
2955,geforce mx450memory:8gb, Intel Core i3 11th,3.0,Visit,0.0,512.0,https://www.newegg.com/beige-mousse-msi-modern-14-b11mo-203-mainstream/p/N82E16834155829,8.0,2,1,9500.415555883752,New Egg
2957,geforce rtx 3060 laptop, Intel Core i7 12th,2.3,MSI,0.0,512.0,https://www.newegg.com/black-msi-creator-m16-a12ue-631-content-creation-gaming-work-business/p/N82E16834156230,16.0,2,1,25758.408811568766,New Egg
2958,geforce mx450,Core i7-1195G,14.0,ASUS,0.0,1000.0,https://www.newegg.com/celestial-blue-asus-zenbook-duo-ux482egr-xb74t-home-personal/p/N82E16834236064,16.0,2,1,26752.473494725735,New Egg
2959,ryzen 5 5500u, AMD Ryzen 5 5500U,15.6,ASUS,0.0,512.0,https://www.newegg.com/silver-asus-m515ua-eb56-sl-home-personal/p/N82E16834236029,16.0,2,1,11415.26510299108,New Egg
2960,intel iris xe graphicsw, Intel Core i7-1165G7,15.6,Visit,0.0,512.0,https://www.newegg.com/p/2WC-000J-01437,12.0,2,1,11599.3852517514,New Egg
2961,nan,Dual Core i5,13.3,Visit,0.0,5128.0,https://www.newegg.com/p/2SN-0001-020U4,8.0,0,1,8819.355125619328,New Egg
2962,intel uhd graphics ,Intel Core i3,15.6,HP,0.0,128.0,https://www.newegg.com/p/2WC-0001-02DM4,4.0,2,1,5523.42034266084,New Egg
2963,ryzen 7 5700u , AMD Ryzen 7 5700U,15.6,ASUS,0.0,1000.0,https://www.newegg.com/indie-black-asus-s513ua-ds51-mainstream/p/N82E16834235717,8.0,2,1,12888.22629307364,New Egg
2964,geforce rtx 3080 laptop, Intel Core i9-11900H,15.6,ASUS,0.0,1000.0,https://www.newegg.com/celestial-blue-asus-zenbook-pro-duo-ux582hs-xh99t-content-creation/p/N82E16834236028,32.0,2,1,55604.100805467875,New Egg
2965,nvidia geforce rtx 3060 laptop gpu,Intel Core i7 11th Gen,15.6,MSI,0.0,512.0,https://www.newegg.com/black-msi-creator-15-a11ue-491-creating-designing/p/N82E16834156059,16.0,2,1,26679.00955537037,New Egg
2966,intel iris xe grapbe th,Intel Core i5,14.0,Dell,0.0,256.0,https://www.newegg.com/black-dell-3000-latitude-3420-work-business/p/2WC-0009-010T7,8.0,2,1,12704.10614431332,New Egg
