,Processor,Screen Size(inch),RAM(GB),Graphics Card,brand,SSD(GB),HDD(GB),link,OS,Normal,price EG,store
990,xeon e31535m,17.3,16.0,quadro p4000 8gb,visit,2000.0,1000.0,https://www.newegg.com/black-lenovo-p71-thinkpad-workstation/p/1TS-000E-0BU30,2,1,99458.62677527168,new egg
991, intel xeon e31535m,17.3,8.0,quadro p4000 8gb gpu,visit,0.0,500.0,https://www.newegg.com/black-lenovo-p71-thinkpad-workstation/p/1TS-000E-0BNJ9,2,1,64690.57805492993,new egg
992,xeon e31535m,17.3,32.0,quadro p4000 8gb,visit,256.0,1000.0,https://www.newegg.com/black-lenovo-p71-thinkpad-workstation/p/1TS-000E-0BU32,2,1,79189.59411702989,new egg
993,xeon e31535m,17.3,32.0,quadro p3000 6gb,visit,256.0,1000.0,https://www.newegg.com/black-lenovo-p71-thinkpad-workstation/p/1TS-000E-0BTN5,2,1,72420.92080232507,new egg
995, intel xeon e31505m,17.3,16.0,quadro p3000 6gbbe the ,visit,256.0,1000.0,https://www.newegg.com/black-lenovo-p71-thinkpad-workstation/p/1TS-000E-0BY79,2,1,50210.05563576632,new egg
997, quadcore i58250u,17.3,32.0,intel uhd graphics 6202,visit,2000.0,2000.0,https://www.newegg.com/silver-17-3-hp-laptop-everyday-value/p/1TS-000D-03HD6,2,1,32363.69020218664,new egg
999, intel xeon e31505m,17.3,32.0,quadro p3000 6gb,visit,256.0,1000.0,https://www.newegg.com/black-lenovo-p71-thinkpad-workstation/p/1TS-000E-0BN34,2,1,56978.72895047114,new egg
1000,intel i77700h,17.3,32.0,intel i7,visit,256.0,1000.0,https://www.newegg.com/black-lenovo-p71-thinkpad-workstation/p/1TS-000E-0BRX2,2,1,53113.55757677358,new egg
1001,intel xeon e31505m,17.3,16.0,quadro p3000 6gb,visit,256.0,1000.0,https://www.newegg.com/black-lenovo-p71-thinkpad-workstation/p/1TS-000E-0BTC0,2,1,57940.398383161446,new egg
1002, quadcore i58250u,17.3,8.0,intel uhd graphics 6201,visit,1000.0,0.0,https://www.newegg.com/silver-17-3-hp-laptop-everyday-value/p/1TS-000D-03HE8,2,1,26815.597321281035,new egg
1003, intel xeon e31535m,17.3,64.0,quadro p3000 6gb gpu,visit,256.0,0.0,https://www.newegg.com/black-lenovo-p71-thinkpad-workstation/p/1TS-000E-0BR05,2,1,76286.09217602263,new egg
1004,core i73630q,15.6,8.0,geforce gt650m discrete,visit,0.0,1000.0,https://www.newegg.com/p/1TS-000E-0D759,2,0,18493.45799992264,new egg
1006, intel xeon e31505m,17.3,64.0,quadro p3000 6gb gpu,visit,2000.0,0.0,https://www.newegg.com/black-lenovo-p71-thinkpad-workstation/p/1TS-000E-0BN18,2,1,69535.91250425416,new egg
1007,xeon e31535m,17.3,16.0,quadro p3000 6gb,visit,512.0,1000.0,https://www.newegg.com/black-lenovo-p71-thinkpad-workstation/p/1TS-000E-0BTR3,2,1,67594.0799959372,new egg
1008, intel xeon e31505m,17.3,8.0,quadro p3000 6gb gpu,visit,500.0,0.0,https://www.newegg.com/black-lenovo-p71-thinkpad-workstation/p/1TS-000E-0BMX2,2,1,51171.72506845662,new egg
1010,xeon e31505m,17.3,64.0,quadro p3000 6gb,visit,256.0,1000.0,https://www.newegg.com/black-lenovo-p71-thinkpad-workstation/p/1TS-000E-0BTA6,2,1,66632.41056324689,new egg
1013,xeon e31505m,17.3,16.0,quadro p3000 6gb,visit,2000.0,1000.0,https://www.newegg.com/black-lenovo-p71-thinkpad-workstation/p/1TS-000E-0BV24,2,1,84016.43492341776,new egg
1014, quadcore i58250u,17.3,32.0,intel uhd graphics 6201,visit,1000.0,0.0,https://www.newegg.com/silver-17-3-hp-laptop-everyday-value/p/1TS-000D-03HJ2,1,1,30514.32590855144,new egg
1015, intel xeon e31505m,17.3,8.0,quadro p3000 6gb,visit,500.0,1000.0,https://www.newegg.com/black-lenovo-p71-thinkpad-workstation/p/1TS-000E-0BN24,2,1,53113.55757677358,new egg
1016, hexacore i78850h,15.6,8.0,quadro p1000 4gbbe the ,visit,1000.0,1000.0,https://www.newegg.com/black-lenovo-p52-thinkpad/p/1TS-000E-0B2J7,2,1,53908.78422303671,new egg
1018, quadcore i58250u,17.3,32.0,intel uhd graphics 6202,visit,2000.0,0.0,https://www.newegg.com/silver-17-3-hp-laptop-everyday-value/p/1TS-000D-03H45,1,1,29589.64376173384,new egg
1019,xeon e31535m,17.3,8.0,quadro p4000 8gb,visit,256.0,1000.0,https://www.newegg.com/black-lenovo-p71-thinkpad-workstation/p/1TS-000E-0BTZ2,2,1,72420.92080232507,new egg
